Frame,Joelho,Tornozelo
0,112.63020156173867,145.86095083188528
1,112.86072127997654,144.53729615960037
2,109.92222776853626,142.81291647065487
3,94.43686382506172,146.61576466085074
4,79.60928826623903,140.76672787224825
5,67.7092156081953,144.95638048834962
6,62.18144229144273,149.57244132279746
7,56.27057072864818,153.1326821991863
8,52.750495083557055,150.18204755875323
9,48.69685182032842,145.46777030147456
10,43.464563032175384,147.2408399678894
11,40.94902104451333,152.43251250961188
12,41.67488945018248,152.78571599134838
13,43.08138077132201,159.1775265862811
14,48.80334321528259,156.99276700875103
15,53.713251315509844,149.2404276741888
16,63.17148369350594,140.58939567517504
17,79.06685274485136,142.93857842696127
18,82.74809084315592,136.5222920281429
19,82.28878094444379,136.9682799075421
20,98.76859728765022,140.88219907305975
21,108.37689868003028,140.8730487098409
22,111.09951517590831,152.3456136247695
23,110.5138264919637,147.98393183024334
24,112.2562015478008,134.80463008749595
25,118.25227652334125,135.26995600403063
26,115.1765233070623,143.18899919227027
27,104.35755514610504,143.79111780863443
28,94.93103557059362,151.3088730376433
29,81.27552767711208,145.77749486374603
30,68.27674866282695,149.48811880914198
31,65.24689781588175,151.73536048628173
32,60.73217309469461,149.5184845126269
33,53.204456238992904,150.38349963657402
34,49.51117721613235,157.10521975931442
35,49.015075371006645,136.73237202938822
36,41.58386137709623,148.0807592726278
37,39.92987612858283,155.35626815226965
38,42.13075502705454,152.3797152075822
39,42.40189902205488,157.3038435648387
40,45.57095277157607,155.44157123486792
41,53.60614124754751,138.30572204302698
42,61.11993281183425,155.06464694575308
43,75.60900395771849,148.23779055548937
44,89.08607870022792,136.97394840707219
45,94.59386713176373,125.58726501406072
46,103.13281389608875,148.37578548304424
47,111.43742307310065,129.67585228605572
48,111.45844915521398,159.57706341453667
49,111.06990391828208,117.36836830481275
50,113.86914980543463,129.46796930099399
51,114.25901360966198,137.91621190001743
52,110.96409128234306,141.80315299506276
53,99.97754598036435,146.98731661747826
54,94.3385795516246,140.36101794689037
55,86.80858168505289,139.39282220620248
56,76.03242131968992,142.813250647609
57,63.244184613452575,146.41181001571084
58,55.220347322674584,146.2516091008804
59,51.84216048204916,151.65683954936046
60,44.719943075129855,150.5566748558988
61,40.53997780794191,149.33455845121512
62,37.05596594814175,153.3202675940717
63,37.79199350775114,153.20392690879083
64,45.40879849244236,154.25837514135685
65,53.359123104805555,147.3806283836417
66,64.09633352482928,144.04543384288058
67,69.49948967925181,141.93581056280226
68,72.91444723339424,144.43534679349082
69,80.62920965469701,129.35720061375656
70,94.78443043227001,148.32686736383496
71,106.29213515343696,128.48622239643686
72,110.4617334593879,124.84495218208971
73,107.18326203169221,128.21649504624605
74,110.17105840791166,126.59465704113735
75,113.86090512870967,132.80462380473705
76,103.6889121354498,151.241397222286
77,91.49443198020444,158.23206041511364
78,83.11143695539486,139.4501453216003
79,74.11282907337824,143.9840765851229
80,68.4882854777694,146.72456838601903
81,59.55088100050508,149.88219084457953
82,57.140452344835936,149.45245751004774
83,49.22442794135091,145.00795708829918
84,43.431660267191674,154.82081192844245
85,43.6007509171479,155.0959952656679
86,43.76240505049929,155.47221452172715
87,43.61848699498249,150.6453849767882
88,41.331990779433596,149.73302124665656
89,43.4159043665311,155.2764745678904
90,45.6608238010233,155.19667563787064
91,50.15653263167447,155.7880328604402
92,55.54619079573036,161.87274584572503
93,69.03336648688432,148.37407642640702
94,85.1528057690483,122.22831791293733
95,95.00148257043847,122.78613409728628
96,103.20570352805939,124.61055592432633
97,103.00368671738289,134.01125435343877
98,114.35796252448867,131.48832567194768
99,117.89136765962333,132.83708342911612
